TAG	CATEGORY	NOTES / TRANSLATION
インフィニット・ストラトス		Infinite Stratos
イリュージョン		Illusion
イカ腹		Squid belly
アーマーブレイク		Armor Break
アンドロイド	©	Android
アロナ(ブルーアーカイブ)	©	Alona (Blue Archive)
アルトリア・オルタ(ランサー)	©	Artoria Alter (Lancer)
アリーナ		Arena
アリナ・クローバー	©	Alina Clover
アリスソフト		Alice Soft
アリシア	©	Alicia
アリサ・ミハイロヴナ・九条		Alisa Mikhailovna Kujo
アリサ・イリーニチナ・アミエーラ	©	Alyssa Ilinichina Amiella
アメコミ		American comics
アマガミ		Amagami
アビゲイル・ウィリアムズ(Fate)	©	Abigail Williams (Fate)
アニポケ	tm	Pokémon Anime
アナル舐めパイズリ	anal tongue tit	anal licking titjob - anaruname paizuri
アナニー	anal mast	Anal masturbation
アスタロット		Astarot
アサシン		Assassin
アキ・ローゼンタール	©	Aki Rosenthal
アイシャ		Aisha
アイカツスターズ!		Aikatsu Stars!
わんだふるぷりきゅあ!		Wandaful Purikure!
わっふるわっふる		Waffle Waffle
らんま1/		Ranma 1/
らんしゃま		Ranshama
らき☆すた		Lucky Star
もんむす・くえすと!		Monmusu Quest!
めがね		Glasses
みょんちち		Myonchichi
まぼろしパンティ		Illusionary panties
まほあこ		Mahoako
まさかの本人		The real person
ぺこらママ		Pekora Mama
ぷよぷよ	tm	Puyo Puyo
ふたゆり	not_solo yuri	Futayuri
ふた×女		Futa x Woman
びしょ濡れ		soaking wet
ひぐらしのなく頃に		Higurashi no Naku Koro ni
ひかがみ		Hikagami
はえてない		It's not blooming
のじゃロリババア狐さま		Noja Loli Baba Fox
のじゃロリ		Noja loli
ねこむすめ道草日記		Nekomusume Michiso Diary
ぬらりひょんの孫		Nurarihyon's grandson
ぬえ		Nue
つけてない		I haven't put it on
だいしゅきホールド		Daishuki hold
たまも		Tamamo
そばかす		freckles
しりならべ	©	Shirinarabe
さらし	expose	exposed
けつね	ass-	Ass
けしか藍		poppy indigo
ぐだ子		Gudako
お題箱		Theme box
お菊さんが好き過ぎる人		People who like Okiku too much
お菊さん		Okiku-san
お嬢様組曲		Princess suite
お兄ちゃんはおしまい		Big brother is done
お乳さん	tit-	Breasts
おもちゃ		toys
おむつ替え		changing diapers
おっぱいスカート	tit	breast skirt
おっぱいキス	tit	breast kiss
おじさん		uncle
おしゃぶり		Pacifier
おしっこ染み	uro	urine stain
おしっこパーティー	uro	pee party
おいでませ!!自由風俗幻想郷2泊3日の旅		Come on!! A 2-night, 3-day trip to the free entertainment fantasy land
うちのこ		My child
うさ耳		rabbit ears
いばら姫(SPY×FAMILY)	©	Sleeping Beauty (SPY×FAMILY)
あの日見た花の名前を僕達はまだ知らない。		We still don't know the name of the flower we saw that day.
【ソロモンbitch】		[Solomon bitch]
【others】		[others]
yu-gi-oh!		yu-gi-oh!
yelan		yelan
yae_miko	©	yae_miko
tongue	tongue	tongue
thighs		thighs
tentacles		tentacles
stuck		stuck
splatoon2	tm	splatoon2
spanking		spanking
skullgirls	tm	skullgirls
sailormoonredraw		sailormoonredraw
rape		rape
raiden_shogun		raiden_shogun
r18		r18
princess		princess
pixivRain2024		pixivRain2024
peeing	uro	peeing
omorashi	uro	omorashi
nintendo	tm	nintendo
my_little_pony	tm	my_little_pony
muscle		muscle
mlp		mlp
lol		lol
keqing	©	keqing
jk		jk
jessie	©	jessie
jackochallenge		jackochallenge
incest		incest
illusion		illusion
hugebreasts	tit	hugebreasts
holoX		holoX
gaping		gaping
ganyu	©	ganyu
game		game
finalfantasy7	tm	finalfantasy7
female		female
fantasy		fantasy
enya		enya
elf		elf
drinking		drinking
cleavage		cleavage
c86	event	c86
c81	event	c81
c79	event	c79
browndust2	tm	browndust2
bestiality		bestiality
beatmaniaIIDX	tm	beatmaniaIIDX
bbc		bbc
anime		anime
aerith	©	aerith
Yバック		Y back
X-EROS		X-EROS
Wパイズリ	tit dick	double titfuck - W paizuri
Varium		Varium
Varesa		Varesa
Unleashed		Unleashed
Tフロント		T front
TrickOrTreat2024		TrickOrTreat2024
TS		TS
Siege		Siege
Shylily	©	Shylily
SNK	tm	SNK
SHOWBYROCK!!		SHOWBYROCK!!
SFM		SFM
RaidenShogun		RaidenShogun
Public		Public
ProjectSekai	tm	ProjectSekai
Poser		Poser
Pokemon	tm	Pokemon
Pixelart		Pixelart
Patreon		Patreon
P5	tm	P5
Overlord		Overlord
Octane		Octane
NicoleDemara	©	NicoleDemara
Nessa	©	Nessa
Melterna		Melterna
Mei	©	Mei
ME!ME!ME!	tm	ME!ME!ME!
Label		Label
Kuroka		Kuroka
KDA	tm	KDA
Hilda	©	Hilda
HELLSING	tm	HELLSING
GroupSex	not_solo sex	GroupSex
Girl		Girl
Genesis3		Genesis3
GL		GL
GF(仮)		GF (tentative)
G8F		G8F
Futanari		Futanari
Fate/EXTRA-CCC	tm	Fate/EXTRA-CCC
FF7R	tm	FF7R
Es		Es
Equestria_Girls	tm	Equestria_Girls
EQG	tm	EQG
Diesirae		Diesirae
DB	tm	DB
Commission		Commission
ChaosZeroNightmare		ChaosZeroNightmare
CeresFauna		CeresFauna
COM3D2		COM3D2
CLOSERS		CLOSERS
CFNM		CFNM
CFNF		CFNF
C105	event	C105
C102	event	C102
C101	event	C101
Bunnygirl		Bunnygirl
Boxing		Boxing
BW		BW
BSS		BSS
BASTARD!!	tm	BASTARD!!
Ankha	©	Ankha
Android18	©	Android18
Anal	anal insert	Anal
Adjutant	©	Adjutant
AI少女		AI Girl
AI-Generated	ai	AI-Generated
3dcg	not_ai	3DCG
ｵﾘｷｬﾗ		Oricara
함몰유두		Home page
클로저스		Home
카오스제로나이트메어		Chaos Zero Nightmare
스카이림		Sorry to bother you
데차		food
대현자만세		Home
가슴		Breasts
龍崎薫	©	Kaoru Ryuzaki
鼻ピアス	pierc	nose piercing
鼻ザー		nose
黒髪超ロング	hair-	black hair super long
黒髪ポニーテール	hair-	black hair ponytail
黒田那佳	©	Naka Kuroda
黒姫		Kurohime
黒咲芽亜		Mea Kurosaki
黒乳首	nip-	black nipples
ブーツ	wear-	Boots
黒ワンピ		black dress
黒マスク		black mask
黒タイツお漏らし	uro	black tights peeing - kuro taitsu omorashi
黒ストッキング		black stockings
黒は女性を美しく見せる		Black makes women look beautiful
黄金便		golden mail
鹿目まどか		Madoka Kaname
鹿田ココノツ		Shikata Kokonotsu
鷹守ハルカ	©	Haruka Takamori
鳳翔		Hosho
鲨鱼妹		Duck sister
魔法少女リリカルなのは		magical girl lyrical nanoha
魔法剣士アネモネ		magic swordsman anemone
魔法のスターマジカルエミ		Magical Star Magical Emi
魔女狩り		witch hunt
魔女っ子		Witch girl
魔兽世界		Mato world
魅果		Meika
魅杏		Mikyou
鬼谷八荒		Oniya Yaara
鬼方カヨコ	©	Kayoko Onikata
鬼っぱい	tit	Onippai - absurd oni breasts
駿河問い		Suruga question
駅弁		Ekiben
馬嫁		horse bride
馬チンポ		horse cock
馬		horse
香澄夜空	©	Kasumi night sky
飲み物		drinks
飛行場姫		airfield princess
風野灯織	©	Toori Kazeno
風紀を乱す風紀委員		A public morals committee member who disrupts public morals
風倉モエ		Moe Kazekura
顔隠し		face hidden
顔責め		face torture
顔を埋めたい股間		The crotch I want to bury my face in
顔に唾	mouth	spit on the face
頭部破壊		head destruction
音無小鳥	©	Otonashi Kotori
鞭跡		whip scars
静凛		Seirin
青髪ロング	hair-	blue hair long
露天風呂		open-air bath
露出菫子ちゃん	expose	Exposure Sumireko-chan
露出娘	expose	exposed girl
霧矢あおい	©	Aoi Kiriya
霍尔海雅		Huo Yi Hai Ya
電気椅子		electric chair
雷電影		thunder shadow
雲雀(閃乱カグラ)	©	Hibari (Senran Kagura)
雲雀	©	Hibari
雪風		Yukikaze
雌犬		bitch
雌奴隷		female slave
隼鷹		Hayataka
隻狼		lone wolf
随喜自在第三外法快楽天		The Third Foreign Law Pleasure Heaven
陽炎		heat haze
陸震妖姫アラクネ		Rikushin Youhime Arachne
陸奥(艦隊これくしょん)	©	Mutsu (Fleet Collection)
陰キャ		Yinkya
陈千语		Chen thousand languages
陈		Chen
阿良々木火憐	©	Karen Araragi
阿米娅		Amina
間桐桜	©	Sakura Matou
開拓者(スターレイル)	©	Pioneer (Star Rail)
閉じ込め		confinement
长离		long separation
镜流		stream
鏡音リン	©	Kagamine Rin
鏑木ろこ		Kaburagi Roko
銜尾蛇		Tailed snake
銀髪赤眼		silver hair red eyes
鈴鹿御前(サンタ)	©	Suzuka Gozen (Santa)
鈴谷(アズールレーン)	©	Suzuya (Azur Lane)
鈴谷		Suzuya
釣り針		fishing hook
金髪美女		blonde beauty
金装のヴェルメイユ		gold-plated vermeil
金狮		golden goose
野良猫		stray cat
野球部		Baseball club
野球帽		baseball cap
野々原柚花のヒミツのハイシン	©	Nonohara Yuzuka's secret high-shin
野々原柚花	©	Nonohara Yuuka
酔っ払い		drunk
酒場		bar
部分子宮脱		partial uterine prolapse
邵神韵		Shao Shenshao
邪神ちゃんドロップキック		Jashin-chan dropkick
遺作		Posthumous work
違う、そうじゃない		No, that's not it
運動会		Sports day
進撃の巨人	tm	attack on titan
進化版童貞を殺すセーター		Evolution version of the sweater that kills virginity
速水奏	©	Kanade Hayami
通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか?		Do you like the mother whose normal attack is an all-over attack and double attack?
這いよれ!ニャル子さん		Crawl! Nyaruko-san
透視		perspective
逆流茶会		Backflow tea party
逆さ撮り		Upside down shot
逆NTR		Reverse NTR
輪モロ		ring moro
輝夜月		Kaguya Moon
軟便	sca	soft stool
身体測定		body measurements
足組み		legs crossed
足抱え		holding legs
趣スケベマン		Lewd man
超速変形ジャイロゼッター		Super fast transformation gyrosetter
赤羽葉子	©	Yoko Akabane
赤毛		redhead
赤井はあと		Akai is next
赤ビキニ	swim	red bikini
赤ちゃんプレイ		baby play
赤ずきんちゃん		little red riding hood
貫鎖	pierc	piercing chain
貞子	©	Sadako
谷間ネクタイ		cleavage tie
诱惑,捆绑,身体涂鸦,玩具		Seduction, torture, body stimulation, toys
調月リオ(ラバースーツ)	©	Rio Tsukizuki (Rubber Suit)
誕生日		birthday
診察		medical examination
触装天使セリカ		tactile angel celica
触手マスク		tentacle mask
角オナ		Horny Ona
親子丼		Oyakodon
親子		Parent and child
見抜き		See through
見せハイレグパンツ		High leg pants
見せつけ		show off
西連寺春菜	©	Haruna Sairenji
褐色ロリ	loli	brown loli
褐色サキュバスさん		brown succubus
褌作戦		Operation loincloth
褌		loincloth
複乳	tit	compound breasts
裾上げタイツ脱ぎ		Take off hemmed tights
裸靴下		naked socks
裸ワイシャツ		naked shirt
裸レインコート		naked raincoat
裸スクールリボン		naked school ribbon
装甲悪鬼村正		armored demon muramasa
血の繋がった夫婦		blood related couple
蟹股ポージング		Crab crotch pose
蟲惑魔		Insect devil
融国		fusion of countries
蛇姦		snake rape
虹ヶ咲学園スクールアイドル同好会		Nijigasaki Academy School Idol Club
虫責め		Insect torture
虎耳		tiger ears
虎城美耶子	©	Miyako Torajiro
藤田ことね	©	Kotone Fujita
藤崎由愛	©	Yua Fujisaki
藤寿々美	©	Susumi Fuji
藤原妹紅		Fujiwara Imoko
藤丸立香	©	Ritsuka Fujimaru
藍原柚子	©	Yuzu Aihara
薬物中毒		drug addiction
薬師寺さあや	©	Yakushiji Saaya
薬		medicine
蔵土縁紗夢		Kuradoen Sayu
華満らん		Hanamanran
菊地真	©	Makoto Kikuchi
菈烏瑪		Lauma
菈乌玛		Lauma
莫娜		Mo Na
茶髪ロング		long brown hair
茶髪		brown hair
茨華仙		Ibarakasen
茨木童子(Fate)	©	Ibaraki Doji (Fate)
茉莉安	©	Marianne
英雄聯盟		League of Heroes
苦労人魔王オスクロル		Struggling Demon King Oskrol
若林智香		Chika Wakabayashi
花里みのり	©	Minori Hanasato
花菱はるか	©	Haruka Hanabishi
花海咲季		Hanami Saki
花子さん	©	Hanako-san
舌は性器	tongue	tongue is genital
臭い		smell
自尊心粉砕		crushing self-esteem
臀部	ass	buttocks
膝裏コキ	dick	Knee job
腹筋は性器		Abs are genitals
腹ボテ		Belly bloat
腕掴みバック		arm grab back
腋見せ衣装	armpit costume	Armpit-showing costume
腋汗	armpit	armpit sweat
腋巫女	armpit costume	Armpit shrine maiden
腋射	armpit	Armpit shot
脱子宮		prolapsed uterus
脱いだらすごい		It's amazing when you take it off
脚フェチ		foot fetish
脇見せ		Show your armpits
脅迫		blackmail
能代(アズールレーン)	©	Noshiro (Azur Lane)
胸に手		hand on chest
背面騎乗位		Rear cowgirl position
背面合掌縛り		Rear gassho binding
背景		background
肩紐ずらし		shoulder strap shift
肩甲骨		shoulder blade
股間責め		Crotch torture
股布ずらし		Crotch cloth shift
肛交	anal insert	anal intercourse
肉鎧		flesh armor
肉祭		meat festival
肉球手袋		paw gloves
肉ビキニ	swim	flesh bikini
聖闘士星矢		saint seiya
聖職者		clergyman
聖夜艦娘		holy night ship girl
耳舐め	tongue	ear licking
翔鶴(アズールレーン)	©	Shoukaku (Azur Lane)
翔鶴		Shokaku
羽毛笔		Feather sword
義肢		prosthetic limb
美鈴	©	Misuzu
美獣イザベラ		Bijuu Isabella
美樹さやか	©	Sayaka Miki
羊娘		sheep girl
绘画		Complete painting
约尔·布莱尔		Yorl Cair
縦パイズリ	tit dick	horizontal paizuri - horizontal mammary intercourse
縄		rope
緑髪ロング		green hair long
緑肌		green skin
緑川なお	©	Nao Midorikawa
緊縛プレイ	bond	bondage play
綿月豊姫		Toyohime Watazuki
綾瀬もも	©	Momo Ayase
綺々羅々ヴィヴィ		Beautifully Vivi
綱渡り		tightrope walking
続きを全裸待機		Waiting for the continuation naked
絶頂失禁	uro	climax incontinence
絶景		Spectacular view
絶対領域		absolute area
絞首刑		hanging
結城さくな	©	Yuuki Sakuna
経産婦		Multiparous woman
紳士向け		For gentlemen
紳士のアロマテラピー		gentleman's aromatherapy
細川美樹	©	Miki Hosokawa
紫式部(Fate)	©	Murasaki Shikibu (Fate)
素足履き	foot-	bare feet
純狐ママ		pure fox mama
精灵		spirit
粘着拘束		adhesive restraint
箱崎星梨花	©	Rika Hakozaki
箱入り娘		Hakoiri Musume
筑摩		Chikuma
竿握り		Rod grip
立体視		stereoscopic vision
空木		sky tree
秋里夢女子	©	Akisato Yumejoshi
秋津洲		Akitsu Island
福利		welfare
神無月葵	©	Aoi Kannazuki
神楽ちづる	©	Chizuru Kagura
神戸屋		Kobeya
神崎アオイ	©	Aoi Kanzaki
神代類		Gods
祈り		prayer
磯風(艦隊これくしょん)	©	Isokaze (Kantai Collection)
硬乳	tit	hard breasts
砾		Sly
破れた服		torn clothes
砂漠の戦士アサル		desert warrior asal
砂浜		sandy beach
石神のぞみ		Nozomi Ishigami
石抱き		stone hugging
矢澤にこ	©	Nico Yazawa
着衣ぶっかけ		Clothed bukkake
眼镜		eyeglasses
真崎杏子	©	Kyoko Masaki
真夏の行進曲		midsummer march
真咲・ガイヤール	©	Masaki Gaillard
真中のん	©	Non Manaka
相田マナ	©	Mana Aida
目のクマ		dark circles in the eyes
監禁調教		Confinement training
百合手マン	not_solo yuri	Yuri fingering
白黒ジャンヌ		black and white jeanne
白鷺千聖	©	Shirasagi Chisato
白魔道士		white mage
白髮		white hair
白金		platinum
白蛇のナーガ		white snake naga
白目		white of eyes
白水着	swim	white swimsuit
白发		white hat
白レン		white wren
白ニーソ		white stockings
発情期		Estrus period
病みかわ		Sick Kawa
異人種間		interracial
男女女男		man, woman, man
电刑		electric punishment
由良かなで	©	Kanade Yura
田中摩美々	©	Mami Tanaka
生首		severed head
生靴下		raw socks
生体ユニット		biological unit
瑞鶴(アズールレーン)	©	Zuikaku (Azur Lane)
琼明神女录		The Myojin Woman's Tale
琴		Koto
珊瑚宫心海		Coral Shrine Shinkai
珂莱塔		Kairai Pagoda
玛薇卡		Mavika
玉置亜子		Ako Tamaki
玉枝様	©	Mr. Tamae
玉付き		with ball
獣人化	fantasy beast	Beastmanization
猫飯店		cat restaurant
猫耳フード		cat ear hood
猫耳バニー		cat ears bunny
猫星めてお		Cat Star Meteo
猫屋敷まゆ		Nekoyashiki Mayu
猫宮又奈	©	Nekomiya Matana
